pk,Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
207781,qlp-s19-faintsearch,FAINT,284747017,3746.01,PC,78.0400455,34.7504029,78.0401488047,34.7500319929,11.76,0.006,1839.9234329,0.005575,1.8012697,0.000928,3.182,0.426,1800.0,3.63809,[19],found in faint-star QLP search,4.54,0.1,1,0.75,0.06,3.19942,0.294622,1576.0,4570.0,126.3,1024.77,12.0,False,3,4,3,3,4,4,4,2021-06-23 15:18:29.649872+00:00,2024-08-22 15:41:09.420339+00:00
292216,qlp-s87-ffi,QLP,262135904,6878.01,EB,106.4867711,11.7724467,106.486751199,11.772439399,10.106,0.007,3688.2865465655623,0.0035381250083774,2.0990769442228885,8.216948761455119e-06,2.343,0.314,501.0,31.6913,"[33, 44, 45, 71, 72, 87]",Possible slight centroid offset to N/NE; retired as TFOP FP/NEB,4.18,0.07,1,2.0,0.08,4.13797,0.253738,2423.0,8853.0,128.7,5728.08,88.27410222134387,False,5,5,5,5,5,5,5,2024-01-25 23:12:48.701186+00:00,2025-05-21 17:48:00.500000+00:00
173757,spoc-s01-s36-b0A-CPKP,QLP,98283926,1915.01,KP,108.4523952,-33.4373338,108.452399125,-33.4373462403,13.147,0.006,2253.2484632,0.0009503,2.292034833249143,8.126185e-05,3.1812506528579965,0.08811164,10585.290602117091,207.89972,"[7, 33, 34]",HATS-42 b,4.31,,1,1.2652599811553955,0.0,13.249714155045568,0.34636796,1622.3537935042052,6208.0,122.0,1637.205806466253,32.916973,False,5,5,5,5,5,5,5,2020-05-29 17:45:53.520000+00:00,2021-10-07 17:27:14.042000+00:00
271090,qlp-s56-faintsearch,FAINT,436508469,6117.01,PC,348.0999087,22.3454815,348.099928638,22.3454702952,11.599,0.007,2850.2572689,0.0030688,9.866312,0.0021019,5.285,0.392,5737.0,203.097,[56],found in faint-star QLP search,4.08,0.09,1,1.64,0.08,11.5656,0.632838,1143.0,6209.0,127.5,283.77,23.0,False,3,4,3,3,4,4,4,2023-03-30 21:13:35.534465+00:00,2024-08-22 15:41:09.420339+00:00
7523327,qlp-s85-faintsearch,FAINT,418262301,7449.01,PC,323.7145216,75.050478,323.7146509,75.050546,12.986,0.014,3653.8170568,0.0013903,12.915329,1.48e-05,3.48,0.358,9844.0,238.378,"[17, 18, 19, 24, 25, 52, 57, 58, 59, 73, 77, 78, 79, 84, 85]",found in faint-star QLP search,4.21,0.08,1,1.26,0.07,12.0782,0.673806,709.0,5424.0,141.7,42.159,33.0,False,3,4,3,3,4,4,4,2025-05-01 20:33:15.738090+00:00,2025-05-01 00:33:38.500000+00:00
289102,qlp-s67-faintsearch,FAINT,253788533,6786.01,PC,282.7333966,-37.5345937,282.733386217,-37.5346166963,13.328,0.006,3150.0862095,0.0010471,2.7142282,3.1e-06,3.44,0.102,23021.0,639.375,"[13, 67]",found in faint-star QLP search,4.37,,1,1.15,,17.7291,,1640.0,6063.0,123.0,1203.77,38.0,False,3,4,3,3,4,4,4,2023-11-02 22:50:46.014609+00:00,2024-08-22 15:41:09.420339+00:00
133676,spoc-s01-s69-b0A-PC,SPOC,47316976,288.01,PC,340.3077309,-28.0326658,340.307693328,-28.0326572379,8.972,0.006,1364.4618215285866,0.002752392,711.7473963053366,0.0038917256,6.7075613663515306,0.2183095,1566.1541118273065,52.20879,"[2, 28, 68]",companion likely a star not planet (see observing notes); two transits two years apart; actual period may be shorter,3.96,0.09,1,2.0208699703216553,0.0946229,9.065007036104571,0.47831988,312.0100486446117,6530.0,126.1,2.2397282432094374,34.83812,False,3,4,3,3,4,4,4,2018-09-28 22:22:05+00:00,2024-04-24 18:03:15.444000+00:00
48408,qlp-s05-b01,SPOC/QLP,38686737,432.01,EB,57.865656,-10.614048,57.8656638101,-10.6140780476,12.536,0.019,1439.97961,0.00087,2.24704,0.00014,2.713,0.065,18890.4,3.68202,[5],,4.23,,1,1.2,0.04,18.1799,0.656011,1812.0,6846.0,114.5,1793.26,67.0,False,5,5,5,5,5,5,5,2019-02-08 16:19:52+00:00,2024-09-18 20:15:55.723000+00:00
45390,qlp-s01s02,QLP,175476629,321.01,EB,350.977728,-38.225709,350.977922841,-38.2257885488,12.794,0.018,1354.27156,0.00674,1.14057,0.00053,2.188,0.24,5009.01,843.33,[2],TFOP FP; retired as NEB,4.44,2.0,1,0.84,0.01,6.52263,2.67802,2986.0,5349.5,38.6,13201.6,16.0,False,5,5,5,5,5,5,4,2018-12-20 19:43:30+00:00,2021-12-06 18:12:29.001000+00:00
45293,qlp-s29-tois,QLP,49710555,291.01,EB,352.16439180000003,-10.8595862,352.16450951,-10.8596202501,12.303,0.0069999999999999,2109.092,0.00271,12.08837,6e-05,3.106,0.332,5990.0,1664.13,"[2, 29]",,4.22,0.08,1,1.34,0.07,18.1866,6.07947,1048.0,5920.0,125.6,200.957,16.0,False,5,5,5,5,5,5,5,2018-12-20 19:43:30+00:00,2022-10-20 14:31:29.921000+00:00
